PropertyID,PropertyType,ListingType,Bedrooms,ReportingMonth,OccupancyRate,RevenueUSD,RevenueNative,AverageDailyRateUSD,AverageDailyRateNative,NumberofReservations,ReservationDays,AvailableDays,BlockedDays,Country,State,City,Zipcode,Neighborhood,MetropolitanStatisticalArea,Latitude,Longitude,Active,ScrapedDuringMonth,CurrencyNative,AirbnbPropertyID,AirbnbHostID,HomeAwayPropertyID,HomeAwayPropertyManager
ab-15220043,House,,2,01/02/2018,0.9,6321.19,6321.19,234.12,234.12,7,27,3,2,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-15220043,House,,2,01/03/2018,0.968,7116.67,7116.67,237.22,237.22,9,30,1,4,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-15220043,House,,2,01/04/2018,0.452,6160,6160,440,440,4,14,17,3,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-15220043,House,,2,01/05/2018,0.357,4240,4240,424,424,3,10,18,7,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-15220043,House,,2,01/06/2018,0.769,4100,4100,410,410,1,10,3,3,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-15220043,House,,2,01/07/2018,0.9,11350,11350,420.37,420.37,5,27,3,4,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-15220043,House,,2,01/08/2018,0.903,12035.4,12035.4,429.84,429.84,8,28,3,0,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-15220043,House,,2,01/09/2018,0.967,12464.6,12464.6,429.81,429.81,7,29,1,0,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-15220043,House,,2,01/10/2018,0.903,12200,12200,435.71,435.71,8,28,3,0,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-9972077,Apartment,,1,01/01/2018,0.935,11975,11975,412.93,412.93,3,29,2,0,United States,California,San Francisco,94133,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-9972077,Apartment,,1,01/02/2018,0.467,8425,8425,601.79,601.79,7,14,16,0,United States,California,San Francisco,94133,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-9972077,Apartment,,1,01/03/2018,0.9,11350,11350,420.37,420.37,5,27,3,18,United States,California,San Francisco,94133,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-9972077,Apartment,,1,01/04/2018,0.903,12035.4,12035.4,429.84,429.84,8,28,3,0,United States,California,San Francisco,94133,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-9972077,Apartment,,1,01/05/2018,0.967,12464.6,12464.6,429.81,429.81,7,29,1,0,United States,California,San Francisco,94133,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-9972077,Apartment,,1,01/06/2018,0.903,12200,12200,435.71,435.71,8,28,3,0,United States,California,San Francisco,94133,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-9972077,Apartment,,1,01/07/2018,0.935,11975,11975,412.93,412.93,3,29,2,0,United States,California,San Francisco,94133,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-9972077,Apartment,,1,01/08/2018,0.467,8425,8425,601.79,601.79,7,14,16,2,United States,California,San Francisco,94133,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-9972077,Apartment,,1,01/09/2018,1,3775,3775,419.44,419.44,1,9,0,4,United States,California,San Francisco,94133,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-9972077,Apartment,,1,01/10/2018,0.645,4693.33,4693.33,234.67,234.67,6,20,11,3,United States,California,San Francisco,94133,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-23860006,Apartment,,2,01/01/2018,0.385,2352.67,2352.67,235.27,235.27,4,10,16,7,United States,California,San Francisco,94133,Oxley,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-23860006,Apartment,,2,01/02/2018,0.778,4979,4979,237.09,237.09,6,21,6,3,United States,California,San Francisco,94133,Oxley,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-23860006,Apartment,,2,01/03/2018,0.815,5290,5290,240.46,240.46,7,22,5,4,United States,California,San Francisco,94133,Oxley,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-23860006,Apartment,,2,01/04/2018,0.917,5170,5170,235,235,6,22,2,0,United States,California,San Francisco,94133,Oxley,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-23860006,Apartment,,2,01/05/2018,0.852,5345,5345,232.39,232.39,6,23,4,0,United States,California,San Francisco,94133,Oxley,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-23860006,Apartment,,2,01/06/2018,0.889,5720,5720,238.33,238.33,8,24,3,0,United States,California,San Francisco,94133,Oxley,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-23860006,Apartment,,2,01/07/2018,0.968,6987.14,6987.14,232.91,232.91,8,30,1,0,United States,California,San Francisco,94133,Oxley,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-23860006,Apartment,,2,01/08/2018,0.9,6321.19,6321.19,234.12,234.12,7,27,3,0,United States,California,San Francisco,94133,Oxley,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-23860006,Apartment,,2,01/09/2018,0.968,7116.67,7116.67,237.22,237.22,9,30,1,18,United States,California,San Francisco,94133,Oxley,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-23860006,Apartment,,2,01/10/2018,0.9,6321.19,6321.19,234.12,234.12,7,27,3,0,United States,California,San Francisco,94133,Oxley,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-21310703,Condominium,,2,01/01/2018,0.968,7116.67,7116.67,237.22,237.22,9,30,1,0,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-21310703,Condominium,,2,01/02/2018,0.452,6160,6160,440,440,4,14,17,0,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-21310703,Condominium,,2,01/03/2018,0.357,4240,4240,424,424,3,10,18,0,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-21310703,Condominium,,2,01/04/2018,0.769,4100,4100,410,410,1,10,3,0,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-21310703,Condominium,,2,01/05/2018,0.9,11350,11350,420.37,420.37,5,27,3,0,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-21310703,Condominium,,2,01/06/2018,0.903,12035.4,12035.4,429.84,429.84,8,28,3,22,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-21310703,Condominium,,2,01/07/2018,0.967,12464.6,12464.6,429.81,429.81,7,29,1,0,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-21310703,Condominium,,2,01/08/2018,0.903,12200,12200,435.71,435.71,8,28,3,2,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-21310703,Condominium,,2,01/09/2018,0.935,11975,11975,412.93,412.93,3,29,2,4,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
ab-21310703,Condominium,,2,01/10/2018,0.467,8425,8425,601.79,601.79,7,14,16,3,United States,California,San Francisco,94133,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",37.80298721,-122.4093699,TRUE,TRUE,USD,95243,292491,1424201vb,
